Ano,Disciplina,Bimestre,Conteúdo/Tema,Habilidades/Objetivos
9º Ano,Maker,série: 9º ano,"Área: Maker
Componente: Maker",
9º Ano,Maker,"área: maker
componente: maker",Carga horária semanal: 2 aulas,
9º Ano,Maker,2º Bimestre,Ano letivo: 2026,
9º Ano,Maker,1º Bimestre,"Estratégias de Pesquisa – o que é uma Smart City?
Circuito de desafios para o desenvolvimento de habilidades e técnicas:
Desafio 1 – Controlando um LED com pushbutton;
Desafio 2 – Criando um gráfico em barra utilizando LEDs e potenciômetro (variação da intensidade de corrente analógica)
Desafio 3 – Utilizando um potenciômetro para criar efeito estroboscópico.
Desafio 4 – Sensor de intrusos utilizando pushbutton, LEDs, ultrassom, buzzer e servo motor.","Exercitar a curiosidade intelectual e recorrer à abordagem própria das ciências, incluindo a investigação, a reflexão, a análise crítica, a imaginação e a criatividade, para investigar causas, elaborar e testar hipóteses, formular e resolver problemas e criar soluções (inclusive tecnológicas) com base nos conhecimentos das diferentes áreas.

Utilizar diferentes linguagens – verbal (oral ou visual-motora, como Libras, e escrita), corporal, visual, sonora e digital –, bem como conhecimentos das linguagens artística, matemática e científica, para se expressar e partilhar informações, experiências, ideias e sentimentos em diferentes contextos e produzir sentidos que levem ao entendimento mútuo.

Exercitar a empatia, o diálogo, a resolução de conflitos e a cooperação, fazendo-se respeitar e promovendo o respeito ao outro e aos direitos humanos, com acolhimento e valorização da diversidade de indivíduos e de grupos sociais, seus saberes, identidades, culturas e potencialidades, sem preconceitos de qualquer natureza.

Reconhecer a influência dos avanços tecnológicos no surgimento de novas atividades profissionais.

Utilizar instrumentos de medida, eletrônicos ou analógicos, como multímetro, paquímetro e micrômetro, entre outros, nas atividades relacionadas aos projetos.
Construir circuitos utilizando microcontroladores para acionar os diversos componentes eletrônicos.

Fazendo perguntas e definindo problemas – Uma prática da ciência é fazer e refinar perguntas que levem a descrições e explicação de como o mundo natural e planejado funciona e que podem ser testadas empiricamente. 

Desenvolvendo e usando modelos – Uma prática da ciência e da engenharia é usar e construir modelos como ferramentas úteis para representar ideias e explicações. Essas ferramentas incluem diagramas, desenhos, réplicas físicas, representações matemáticas, analogias e simulações de computador.

Planejamento e realização de investigações – Cientistas e engenheiros planejam e realizam investigações em campo ou no laboratório, trabalhando de forma colaborativa e individual. Suas investigações são sistemáticas e exigem esclarecer o que conta como dados e identificar variáveis ou parâmetros."
9º Ano,Maker,2º Bimestre,"Aprofundamento na pesquisa sobre cidades inteligentes:
Origem do conceito de cidade (Aristóteles) e suas mudanças ao longo do tempo;
Definições de cidade inteligente atuais; 
Escolha dos problemas a serem trabalhados e busca de soluções;
Desenvolvimento de solução do problema escolhido pela equipe; e
Construção do produto (maquete/modelo) que representa o funcionamento da solução desenvolvida pela equipe.","Valorizar e utilizar os conhecimentos historicamente construídos sobre o mundo físico, social, cultural e digital para entender e explicar a realidade, continuar aprendendo e colaborar para a construção de uma sociedade justa, democrática e inclusiva.

Exercitar a curiosidade intelectual e recorrer à abordagem própria das ciências, incluindo a investigação, a reflexão, a análise crítica, a imaginação e a criatividade, para investigar causas, elaborar e testar hipóteses, formular e resolver problemas e criar soluções (inclusive tecnológicas) com base nos conhecimentos das diferentes áreas.

Utilizar diferentes linguagens – verbal (oral ou visual-motora, como Libras, e escrita), corporal, visual, sonora e digital –, bem como conhecimentos das linguagens artística, matemática e científica, para se expressar e partilhar informações, experiências, ideias e sentimentos em diferentes contextos e produzir sentidos que levem ao entendimento mútuo.

Compreender, utilizar e criar tecnologias digitais de informação e comunicação de forma crítica, significativa, reflexiva e ética nas diversas práticas sociais (incluindo as escolares) para se comunicar, acessar e disseminar informações, produzir conhecimentos, resolver problemas e exercer protagonismo e autoria na vida pessoal e coletiva.

Valorizar a diversidade de saberes e vivências culturais e apropriar-se de conhecimentos e experiências que lhe possibilitem entender as relações próprias do mundo do trabalho e fazer escolhas alinhadas ao exercício da cidadania e ao seu projeto de vida, com liberdade, autonomia, consciência crítica e responsabilidade.

Argumentar com base em fatos, dados e informações confiáveis, para formular, negociar e defender ideias, pontos de vista e decisões comuns que respeitem e promovam os direitos humanos, a consciência socioambiental e o consumo responsável em âmbito local, regional e global, com posicionamento ético em relação ao cuidado de si mesmo, dos outros e do planeta.

Exercitar a empatia, o diálogo, a resolução de conflitos e a cooperação, fazendo-se respeitar e promovendo o respeito ao outro e aos direitos humanos, com acolhimento e valorização da diversidade de indivíduos e de grupos sociais, seus saberes, identidades, culturas e potencialidades, sem preconceitos de qualquer natureza.

Fazendo perguntas e definindo problemas – Uma prática da ciência é fazer e refinar perguntas que levem a descrições e explicação de como o mundo natural e planejado funciona e que podem ser testadas empiricamente.

Desenvolvendo e usando modelos – Uma prática da ciência e da engenharia é usar e construir modelos como ferramentas úteis para representar ideias e explicações. Essas ferramentas incluem diagramas, desenhos, réplicas físicas, representações matemáticas, analogias e simulações de computador.

Planejamento e realização de investigações – Cientistas e engenheiros planejam e realizam investigações em campo ou no laboratório, trabalhando de forma colaborativa e individual. Suas investigações são sistemáticas e exigem esclarecer o que conta como dados e identificar variáveis ou parâmetros.

Analisando e interpretando dados – As investigações científicas produzem dados que devem ser analisados a fim de obter significado, Como os padrões e tendências de dados nem sempre são óbvios, os cientistas usam uma variedade de ferramentas – incluindo tabulação, interpretação gráfica, visualização e análise estatística – para identificar os recursos e padrões significativos nos dados. Os cientistas identificam fontes de erro nas investigações e calculam o grau de certeza nos resultados. A tecnologia moderna facilita muito a coleta de grandes conjuntos de dados, fornecendo fontes secundárias para análise.
 
Utilização de matemática e pensamento computacional – Tanto na ciência quanto na engenharia, a matemática e a computação são ferramentas fundamentais para representar variáveis físicas e seus relacionamentos. Eles são usados para uma variedade de tarefas, como a construção de simulações, análise estatística de dados; e reconhecer, expressar a aplicar relações quantitativas.

Construindo explicações e projetando soluções – Os produtos da ciência são explicações e os produtos da engenharia são soluções. 

Engajando-se em argumentos a partir de evidências – Argumentação é o processo pelo qual explicações e soluções são alcançadas. 

Obtenção, avaliação e comunicação de informações – Cientistas e engenheiros devem ser capazes de comunicar de forma clara e persuasiva as ideias e métodos que geram. Criticar e comunicar ideias individualmente e em grupos é uma atividade profissional crítica."
9º Ano,Maker,3º Bimestre,"Apresentação do projeto cidades Inteligentes na mostra cultural.
Programação em linha utilizando a linguagem C++ aplicado a plataforma Arduino
Fundamentos da linguagem C – Piscando um LED (tradução da linguagem em blocos para a IDE Arduino)
Entradas e saídas – digital/analógica
Estruturas de repetição – If, If/else, For e While
Funções","Exercitar a curiosidade intelectual e recorrer à abordagem própria das ciências, incluindo a investigação, a reflexão, a análise crítica, a imaginação e a criatividade, para investigar causas, elaborar e testar hipóteses, formular e resolver problemas e criar soluções (inclusive tecnológicas) com base nos conhecimentos das diferentes áreas.

Valorizar e fruir as diversas manifestações artísticas e culturais, das locais às mundiais, e também participar de práticas diversificadas da produção artístico-cultural.

Utilizar diferentes linguagens – verbal (oral ou visual-motora, como Libras, e escrita), corporal, visual, sonora e digital –, bem como conhecimentos das linguagens artística, matemática e científica, para se expressar e partilhar informações, experiências, ideias e sentimentos em diferentes contextos e produzir sentidos que levem ao entendimento mútuo.
Compreender, utilizar e criar tecnologias digitais de informação e comunicação de forma crítica, significativa, reflexiva e ética nas diversas práticas sociais (incluindo as escolares) para se comunicar, acessar e disseminar informações, produzir conhecimentos, resolver problemas e exercer protagonismo e autoria na vida pessoal e coletiva.

Valorizar a diversidade de saberes e vivências culturais e apropriar-se de conhecimentos e experiências que lhe possibilitem entender as relações próprias do mundo do trabalho e fazer escolhas alinhadas ao exercício da cidadania e ao seu projeto de vida, com liberdade, autonomia, consciência crítica e responsabilidade.

Exercitar a empatia, o diálogo, a resolução de conflitos e a cooperação, fazendo-se respeitar e promovendo o respeito ao outro e aos direitos humanos, com acolhimento e valorização da diversidade de indivíduos e de grupos sociais, seus saberes, identidades, culturas e potencialidades, sem preconceitos de qualquer natureza.

Agir pessoal e coletivamente com autonomia, responsabilidade, flexibilidade, resiliência e determinação, tomando decisões com base em princípios éticos, democráticos, inclusivos, sustentáveis e solidários.

Fazendo perguntas e definindo problemas – Uma prática da ciência é fazer e refinar perguntas que levem a descrições e explicação de como o mundo natural e planejado funciona e que podem ser testadas empiricamente. 
Desenvolvendo e usando modelos – Uma prática da ciência e da engenharia é usar e construir modelos como ferramentas úteis para representar ideias e explicações. Essas ferramentas incluem diagramas, desenhos, réplicas físicas, representações matemáticas, analogias e simulações de computador.
Planejamento e realização de investigações – Cientistas e engenheiros planejam e realizam investigações em campo ou no laboratório, trabalhando de forma colaborativa e individual. Suas investigações são sistemáticas e exigem esclarecer o que conta como dados e identificar variáveis ou parâmetros.
Utilização de matemática e pensamento computacional – Tanto na ciência quanto na engenharia, a matemática e a computação são ferramentas fundamentais para representar variáveis físicas e seus relacionamentos. Eles são usados para uma variedade de tarefas, como a construção de simulações, análise estatística de dados; e reconhecer, expressar a aplicar relações quantitativas.
Construindo explicações e projetando soluções – Os produtos da ciência são explicações e os produtos da engenharia são soluções. 
Engajando-se em argumentos a partir de evidências – Argumentação é o processo pelo qual explicações e soluções são alcançadas. 
Obtenção, avaliação e comunicação de informações – Cientistas e engenheiros devem ser capazes de comunicar de forma clara e persuasiva as ideias e métodos que geram. Criticar e comunicar ideias individualmente e em grupos é uma atividade profissional crítica."
9º Ano,Maker,4º Bimestre,"Arrays e strings
Biblioteca padrão para Arduino – números aleatórios, funções matemáticas, entrada e saída avançada, interrupções.
Projeto Arduino utilizando programação em linha.","Exercitar a curiosidade intelectual e recorrer à abordagem própria das ciências, incluindo a investigação, a reflexão, a análise crítica, a imaginação e a criatividade, para investigar causas, elaborar e testar hipóteses, formular e resolver problemas e criar soluções (inclusive tecnológicas) com base nos conhecimentos das diferentes áreas.

Valorizar e fruir as diversas manifestações artísticas e culturais, das locais às mundiais, e também participar de práticas diversificadas da produção artístico-cultural.

Utilizar diferentes linguagens – verbal (oral ou visual-motora, como Libras, e escrita), corporal, visual, sonora e digital –, bem como conhecimentos das linguagens artística, matemática e científica, para se expressar e partilhar informações, experiências, ideias e sentimentos em diferentes contextos e produzir sentidos que levem ao entendimento mútuo.
Compreender, utilizar e criar tecnologias digitais de informação e comunicação de forma crítica, significativa, reflexiva e ética nas diversas práticas sociais (incluindo as escolares) para se comunicar, acessar e disseminar informações, produzir conhecimentos, resolver problemas e exercer protagonismo e autoria na vida pessoal e coletiva.

Valorizar a diversidade de saberes e vivências culturais e apropriar-se de conhecimentos e experiências que lhe possibilitem entender as relações próprias do mundo do trabalho e fazer escolhas alinhadas ao exercício da cidadania e ao seu projeto de vida, com liberdade, autonomia, consciência crítica e responsabilidade.

Exercitar a empatia, o diálogo, a resolução de conflitos e a cooperação, fazendo-se respeitar e promovendo o respeito ao outro e aos direitos humanos, com acolhimento e valorização da diversidade de indivíduos e de grupos sociais, seus saberes, identidades, culturas e potencialidades, sem preconceitos de qualquer natureza.

Agir pessoal e coletivamente com autonomia, responsabilidade, flexibilidade, resiliência e determinação, tomando decisões com base em princípios éticos, democráticos, inclusivos, sustentáveis e solidários.

Fazendo perguntas e definindo problemas – Uma prática da ciência é fazer e refinar perguntas que levem a descrições e explicação de como o mundo natural e planejado funciona e que podem ser testadas empiricamente. 
Desenvolvendo e usando modelos – Uma prática da ciência e da engenharia é usar e construir modelos como ferramentas úteis para representar ideias e explicações. Essas ferramentas incluem diagramas, desenhos, réplicas físicas, representações matemáticas, analogias e simulações de computador.
Planejamento e realização de investigações – Cientistas e engenheiros planejam e realizam investigações em campo ou no laboratório, trabalhando de forma colaborativa e individual. Suas investigações são sistemáticas e exigem esclarecer o que conta como dados e identificar variáveis ou parâmetros.
Utilização de matemática e pensamento computacional – Tanto na ciência quanto na engenharia, a matemática e a computação são ferramentas fundamentais para representar variáveis físicas e seus relacionamentos. Eles são usados para uma variedade de tarefas, como a construção de simulações, análise estatística de dados; e reconhecer, expressar a aplicar relações quantitativas.
Construindo explicações e projetando soluções – Os produtos da ciência são explicações e os produtos da engenharia são soluções. 
Engajando-se em argumentos a partir de evidências – Argumentação é o processo pelo qual explicações e soluções são alcançadas. 
Obtenção, avaliação e comunicação de informações – Cientistas e engenheiros devem ser capazes de comunicar de forma clara e persuasiva as ideias e métodos que geram. Criticar e comunicar ideias individualmente e em grupos é uma atividade profissional crítica."
Não especificado,Geral/Múltiplas,1º Bimestre,"Livro Teláris - 6º ano
Unidade 1 - Capítulo 1
A estrutura do planeta e a litosfera (p. 18 a 21)
Estrutura da Terra;
Camadas da Terra.","- Analisar modelos da estrutura interna da Terra para relacionar suas camadas (núcleo, manto e crosta).
- Relacionar a dinâmica interna da Terra a fenômenos superficiais como vulcanismo e terremotos.
- Modelar, por meio de mapas conceituais, as camadas da Terra, representando suas características e funções."
Não especificado,Geral/Múltiplas,1º Bimestre,"Livro Teláris - 6º ano
Unidade 1 - Capítulo 1
A estrutura do planeta e a litosfera (p. 18 a 31)
Estrutura da Terra;
Camadas da Terra;
As rochas;
Os fósseis.","- Analisar amostras reais de rochas para justificar sua classificação em ígneas, sedimentares ou metamórficas com base em critérios visíveis.
- Classificar rochas segundo seu processo de formação;
- Relacionar a formação de rochas sedimentares ao processo de fossilização e explicar por que fósseis geralmente ocorrem em rochas sedimentares.
- Explicar o que são fósseis, como se formam e em que condições ocorre a fossilização."
Não especificado,Geral/Múltiplas,1º Bimestre,AP1 + AB1,AP1 + AB1
